2023 Social Accounting Matrix for Papua New Guinea,Code,amaiz,arice,aocer,apuls,aoils,aroot,avege,asugr,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,cpuls,coils,croot,cvege,csugr,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,dtax,etax,ftax,mtax,stax,s-i,row,total
Commodities - Roots,croot,,,,,,223.7335102,,,,,2.21591E-05,0.647254113,0.316938561,23.00724741,,0.002607135,,80.44111185,0.024126815,,,9.23717E-05,,,,,,,,,,15.45256728,,,,,1.100635912,0.019131618,2.307480385,0.931953996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.611604394,11.55969706,24.08691178,21.775243,44.15462281,28.94026588,49.27343061,51.36581826,152.5590817,233.8917568,,,,,,,,,973.2031121
Commodities - Vegetables,cvege,,,,,,,53.46717837,,,,,0.343886795,0.000755817,154.2625062,,,,24.79517937,0.358076357,,,0.051013653,,,,,,,,,,37.78543389,,,,,7.662609833,0.097607721,5.53257123,1.98162267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.680817384,4.827997791,8.667842854,10.63330284,17.40884541,5.854075388,8.080473432,15.68202534,51.90686274,115.5667936,,,,,,,,,527.6474787
Commodities - Sugarcane,csugr,,,,,,,,10.31741004,,,,1.317407504,0.421888527,31.17148388,,,,36.94905301,0.309283387,,,0.001994602,,,,,,,,,,0.138059521,,,,,0.921143274,3.28701E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018476559,3.628681557,3.398384186,0.00894784,0.084872032,0.097441647,,,,,,,,,88.78456044
Commodities - Fruits and nuts,cfrui,,,,,,,,,536.1682507,,,0.269036051,0.001076567,28.19428181,,0.000135648,0.047724692,13.13969982,232.0695314,1.05045E-05,0.846246967,0.184411886,,0.00068272,0.000229117,,0.023368687,0.001471364,0.004883258,0.575502916,5.054248911,26.04103937,0.017794893,0.00838315,0.005841938,1.506998338,3.650967891,0.097846556,25.28642088,4.5571495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.41946103,43.62390122,71.14707428,76.99854803,139.622242,137.0843656,166.9956371,196.3594223,809.6654423,1163.491663,,,,,,,,,3704.160992
"Commodities - Coffee, tea and cocoa",ccoff,,,,,,,,,,84.39384735,,,,,,,,126.6797259,151.7003694,,,0.453259852,,,,,,,,,,7.824294851,,,,,,0.008275429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778190344,1.289993466,2.289721597,3.214754506,3.505074636,0.227776431,2.667442929,3.290779859,8.733066916,9.78864592,,,,,,,,1110.092095,1516.937314
Commodities - Other crops,cocrp,0.002316243,0.000483829,,0.000784364,2.53099112,1.213886947,0.20992366,0.060142841,2.336069988,0.384420115,5.536993205,0.021930894,0.116014982,11.61736209,2.06938098,0.066022026,,1.183867061,0.540287112,,,38.36880761,,0.020946855,0.145092028,,4.29259E-05,0.019609072,0.045473989,,,0.417641744,,,,,0.138457343,0.003160598,0.010093901,0.044845341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.10504887
Commodities - Cattle and raw milk,ccatt,0.005004089,0.000127806,,,12.92440749,0.210302344,0.700488142,0.154832114,11.45649627,0.283502952,0.093314342,0.872491959,0.008969352,,4.202316048,0.251327608,,38.29230543,,0.000989769,,0.023895167,,,,,8.38913E-06,,,,,1.202283276,,,,,12.35538144,0.063437001,0.391660728,2.761055718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016565709,0.039510243,0.116936553,0.59510089,0.308265224,0.540188129,0.513316699,0.127844659,0.888407227,1.433553399,,,,,,,,,90.83428617
Commodities - Poultry and eggs,cpoul,0.00290388,0.000131367,,,0.227035194,0.333301939,0.308200414,0.044862451,7.289454707,0.31193081,0.005781373,0.158579425,1.494292629,25.1435464,,0.02735933,,19.56417291,0.028807891,,,0.004604843,,,,0.014866193,,,,,0.023983653,6.232278497,,,,,0.55765632,0.035595451,1.813502745,0.313037409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781116758,2.283143392,4.257545058,6.230486148,11.1617423,3.358806117,3.114043279,3.682752571,16.56279951,21.73327582,,,,,,,,,137.1015968
Commodities - Other livestock,coliv,,,,,,,,,,,,,3.1670075,101.0970076,,9.7109E-05,,0.013826744,,0.017090952,,0.000524103,,,,,,,,,,0.130843522,,,,,,,3.9039E-05,0.000857538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.3536934,230.9387492,377.6489362,549.0768397,1094.435462,197.8473768,216.9571327,144.7778079,586.5520858,3099.128554,,,,,,,,,6718.143932
Commodities - Forestry,cfore,0.000139154,4.49342E-06,,,0.068935649,0.031621077,0.004190453,,0.229765367,0.011226371,0.000590301,0.036490044,0.001062914,1.130079945,409.4374873,0.01396677,70.99196838,0.986586855,0.062793329,0.071448509,153.7479579,5.348302236,4.009750625,3.749607657,0.4792753,1.723495494,,,73.68167367,0.000262196,,0.025540174,0.037365167,,,0.033647556,0.002809704,0.001256102,0.210195005,3.128612915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411191832,1.430852744,1.534323391,2.431149766,6.241058554,3.150913109,5.030072022,5.134983469,10.57323726,9.334069375,,,,,,,,1911.39638,2685.926341
Commodities - Fisheries,cfish,,,,,,,,,,,0.011256373,,0.020691071,,,593.3291453,,401.1083339,,,,0.796298055,,,,0.869653373,,,,,0.114043315,40.6234675,,,,,3.429593321,2.622866518,5.230810562,28.34541245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.18267793,21.26807678,33.46854825,39.68952605,58.68655495,8.768990681,14.81407255,22.24114673,85.43984293,101.5891785,,,,,,,,595.1997213,2067.849908
Commodities - Mining,cmine,,,,,0.015055528,,,,0.007624602,0.002748563,0.038472098,,0.011113724,,2.604810669,0.324180895,5717.943897,13.53320745,0.35253347,0.306595671,0.810810941,124.8678644,73.49543846,3367.603094,0.950180517,7.521845234,3.517969439,3.884898435,3079.164598,0.082020483,2.717689465,259.6809507,0.35015224,,,0.081409303,2.264099165,1.550397287,1.005760744,0.518069298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27045.00221,39710.2097
Commodities - Processed foods,cfood,,,,,,,,,,,0.013935287,7.542056832,24.90234867,1010.100115,16.78085311,0.683547956,31.77524373,604.2782996,115.4449414,1.152484272,1.389868526,2.135124517,7.494806477,103.0137104,5.882396569,1.128412439,,2.164262345,,31.52235895,18.67769943,486.5409019,9.565382239,4.645511247,,2.348898239,78.72059317,6.588420637,258.5536587,79.40609179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.54571892,157.3483835,198.6699363,235.8462259,287.1497476,14.16058899,75.4384835,176.6226589,536.0291314,1422.653175,,,,,,,,4282.519672,10389.43565
Commodities - Beverage and tobacco,cbeve,1.69703E-05,1.99993E-05,,0.000640677,0.012419308,0.002761982,0.037485402,0.000838389,0.032142163,0.015022058,0.051224892,0.014483403,0.003315442,1.646168808,0.065678894,0.081108921,0.4602075,12.20533268,94.42100534,0.00020832,2.406110984,1.719651012,0.019104126,0.168121653,0.004257906,0.007019603,0.21151419,1.271407852,0.108838763,2.711545809,12.81839993,18.16497357,2.934592005,2.893336111,0.416305901,40.60957231,5.564934732,0.729763641,18.54615653,7.195947913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.19762431,42.50499222,64.63147939,112.5795799,173.5730861,2.945817056,15.20169128,78.8251888,252.2486263,571.4009791,,,,,,,,,1558.6607
